audit_id,created_at_utc,created_at_local,iteration,thesis_id,instrument,direction,strategy_id,confidence_tese_pct,expected_financial_pct,realized_financial_pct,requested_instruments
3249,2026-05-02T05:33:02+00:00,2026-05-02T02:33:02-03:00,476,TH-PETR4-bullish-15405,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"GGBR4,BBAS3,VBBR3,HAPV3,PETR4,B3SA3,ABEV3"
3252,2026-05-02T05:33:28+00:00,2026-05-02T02:33:28-03:00,477,TH-PRIO3-bullish-10940,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"RAIL3,ABEV3,LREN3,PRIO3,SUZB3,BBDC4"
3255,2026-05-02T05:33:55+00:00,2026-05-02T02:33:55-03:00,478,TH-PETR4-bullish-18023,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"BPAC11,RADL3,LREN3,WEGE3,PETR4"
3258,2026-05-02T05:34:26+00:00,2026-05-02T02:34:26-03:00,479,TH-HAPV3-bearish-18193,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"GGBR4,WEGE3,VALE3,LREN3,HAPV3,CMIG4,BBAS3"
3261,2026-05-02T05:34:46+00:00,2026-05-02T02:34:46-03:00,480,TH-JBSS3-bullish-2372,JBSS3,bullish,BULL_CALL_SPREAD,71.172,3.7713,5.4,"VBBR3,JBSS3,GGBR4,RENT3"
3264,2026-05-02T05:35:11+00:00,2026-05-02T02:35:11-03:00,481,TH-BPAC11-bullish-15515,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"ABEV3,VBBR3,LREN3,JBSS3,RAIL3,BPAC11"
3267,2026-05-02T05:35:39+00:00,2026-05-02T02:35:39-03:00,482,TH-PETR4-bullish-9935,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"SUZB3,LREN3,PETR4,WEGE3,PRIO3"
3270,2026-05-02T05:36:15+00:00,2026-05-02T02:36:15-03:00,483,TH-PETR4-bullish-16703,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"BPAC11,BBAS3,ITUB4,RAIL3,PETR4,ABEV3,RADL3,WEGE3"
3273,2026-05-02T05:36:40+00:00,2026-05-02T02:36:40-03:00,484,TH-HAPV3-bearish-18870,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"CMIG4,SUZB3,GGBR4,ABEV3,VBBR3,BPAC11,HAPV3"
3276,2026-05-02T05:37:11+00:00,2026-05-02T02:37:11-03:00,485,TH-BPAC11-bullish-21612,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"RAIL3,VALE3,RENT3,B3SA3,JBSS3,BBDC4,BPAC11,VBBR3"
